osm_type,osm_id,name
R,62453,"Worms, Rheinland-Pfalz, Deutschland"
R,62456,"Duisburg, Nordrhein-Westfalen, Deutschland"
R,62464,"Würzburg, Bayern, Deutschland"
R,62465,"Landkreis Würzburg, Bayern, Deutschland"
R,62467,"Sachsen, Deutschland"
R,62470,"Brandenburg an der Havel, Brandenburg, Deutschland"
R,62478,"Wuppertal, Nordrhein-Westfalen, Deutschland"
R,62481,"Magdeburg, Sachsen-Anhalt, Deutschland"
R,62484,"Landshut, Bayern, Deutschland"
R,62488,"Oberhavel, Brandenburg, Deutschland"
R,62491,"Landkreis Wunsiedel im Fichtelgebirge, Bayern, Deutschland"
R,62493,"Weimar, Thüringen, Deutschland"
R,62495,"Ulm, Baden-Württemberg, Deutschland"
R,62496,"Wiesbaden, Hessen, Deutschland"
R,62504,"Brandenburg, Deutschland"
R,62508,"Bonn, Nordrhein-Westfalen, Deutschland"
R,62512,"Koblenz, Rheinland-Pfalz, Deutschland"
R,62515,"Landkreis Lichtenfels, Bayern, Deutschland"
R,62518,"Karlsruhe, Baden-Württemberg, Deutschland"
R,62523,"Frankfurt (Oder), Zeschdorf, Brandenburg, Deutschland"
R,62525,"Bamberg, Bayern, Deutschland"
R,62531,"Braunschweig, Niedersachsen, Deutschland"
R,62534,"Schweinfurt, Bayern, Deutschland"
R,62539,"Düsseldorf, Nordrhein-Westfalen, Deutschland"
R,62553,"Barnim, Brandenburg, Deutschland"
R,62559,"Bremen, Deutschland"
R,62562,"Emden, Niedersachsen, Deutschland"
R,62564,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland"
R,62577,"Rhein-Neckar-Kreis, Baden-Württemberg, Deutschland"
R,62578,"Köln, Nordrhein-Westfalen, Deutschland"
R,62581,"Darmstadt, Hessen, Deutschland"
R,62587,"Landkreis Lörrach, Baden-Württemberg, Deutschland"
R,62591,"Münster, Nordrhein-Westfalen, Deutschland"
R,62594,"Chemnitz, Lichtenau, Sachsen, Deutschland"
R,62598,"Kassel, Hessen, Deutschland"
R,62611,"Baden-Württemberg, Deutschland"
R,62630,"Mainz, Bodenheim, Rheinland-Pfalz, Deutschland"
R,62631,"Osnabrück, Niedersachsen, Deutschland"
R,62633,"Landkreis Freising, Bayern, Deutschland"
R,62638,"Halle (Saale), Sachsen-Anhalt, Deutschland"
R,62640,"Bayreuth, Bayern, Deutschland"
R,62643,"Landkreis Marburg-Biedenkopf, Hessen, Deutschland"
R,62644,"Bochum, Nordrhein-Westfalen, Deutschland"
R,62646,"Bielefeld, Nordrhein-Westfalen, Deutschland"
R,62649,"Leipzig, Sachsen, Deutschland"
R,62650,"Hessen, Deutschland"
R,62652,"Kaiserslautern, Rheinland-Pfalz, Deutschland"
R,62654,"Ansbach, Bayern, 91522, Deutschland"
R,62659,"Salzgitter, Niedersachsen, Deutschland"
R,62664,"Landkreis Günzburg, Bayern, Deutschland"
R,62669,"Landkreis Goslar, Niedersachsen, Deutschland"
R,62673,"Landkreis Osnabrück, Niedersachsen, Deutschland"
R,62687,"Landkreis Forchheim, Bayern, Deutschland"
R,62691,"Mannheim, Baden-Württemberg, Deutschland"
R,62693,"Jena, Thüringen, Deutschland"
R,62701,"Kempten (Allgäu), Bayern, Deutschland"
R,62713,"Essen, Nordrhein-Westfalen, Deutschland"
R,62717,"Coburg, Bayern, 96450, Deutschland"
R,62718,"Bremen, Deutschland"
R,62724,"Neustadt an der Weinstraße, Rheinland-Pfalz, Deutschland"
R,62726,"Landkreis Garmisch-Partenkirchen, Bayern, Deutschland"
R,62734,"Oberhausen, Nordrhein-Westfalen, Deutschland"
R,62745,"Erfurt, Thüringen, Deutschland"
R,62751,"Heilbronn, Baden-Württemberg, Deutschland"
R,62768,"Freiburg im Breisgau, Baden-Württemberg, Deutschland"
R,62771,"Niedersachsen, Deutschland"
R,62772,"Amberg, Bayern, 92224, Deutschland"
R,62778,"Landkreis Fürth, Bayern, Deutschland"
R,62780,"Nürnberg, Bayern, Deutschland"
R,62782,"Hamburg, Deutschland"
R,62785,"Zwickau, Sachsen, Deutschland"
R,63401,"Oststadt, Karlsruhe, Baden-Württemberg, 76131, Deutschland"
R,65420,"Schönebeck (Elbe), Salzlandkreis, Sachsen-Anhalt, Deutschland"
R,65606,"London, Greater London, England, United Kingdom"
R,66750,"Muttersholtz, Sélestat-Erstein, Bas-Rhin, Grand Est, France métropolitaine, 67600, France"
R,67213,"New Hampshire, United States of America"
R,67741,"La Ciotat, Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13600, France"
R,68841,"Ontario, Canada"
R,69144,"Lincoln, Lincolnshire, Greater Lincolnshire, England, United Kingdom"
R,69348,"Hœnheim, Strasbourg, Bas-Rhin, Collectivité européenne d'Alsace, Grand Est, France métropolitaine, 67800, France"
R,70124,"Bötzingen, GVV Kaiserstuhl-Tuniberg, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, 79268, Deutschland"
R,70193,"Heuweiler, VVG der Gemeinde Gundelfingen, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, Deutschland"
R,70967,"Portsmouth, Rockingham County, New Hampshire, United States of America"
