osm_combination,location_ids
R4246124-boundary:administrative,"13745,13746,14883,13743,13744"
R146656-boundary:administrative,"12077,12078,12079,12080,12081"
R418338-boundary:administrative,12792
R405289-boundary:administrative,12764
W28234847-amenity:community_centre,14101
R172506-boundary:administrative,12202
N492803217-place:village,"14575,14576,14577"
R18000-boundary:administrative,11265
R1578579-boundary:administrative,13240
R2168241-boundary:administrative,"13413,13414"
R305095-boundary:administrative,"12608,12609,12610,12611"
N271613766-place:city,14449
R304934-boundary:administrative,"12595,12596"
R192798-boundary:administrative,"12383,12384,12385,12386,12387,12388,12389"
N305704484-place:state,14494
W105204294-building:yes,14227
N26819236-place:city,14058
W165240097-highway:pedestrian,14981
R1180492-boundary:administrative,13088
R339549-boundary:administrative,12659
N1599083298-place:town,14716
R1258406-boundary:postal_code,13137
R1112861-boundary:administrative,"13026,13027,13028"
R152126-boundary:administrative,12102
R536780-boundary:administrative,"12866,12867,12868,12869,12870"
W32511052-building:industrial,14143
R57537-boundary:administrative,"11396,11397,11398,11399"
R2316596-boundary:administrative,13454
R3351301-boundary:postal_code,"13627,13628,13629,13630"
N371009770-place:suburb,14542
R14286530-boundary:administrative,13971
R5915931-boundary:administrative,13813
R2156363-boundary:administrative,"13409,13410,13411"
R238074-boundary:administrative,12502
N247431235-place:suburb,14970
R5342409-place:city,"13771,13772,13773,13774"
R1128911-boundary:postal_code,13060
N1651888734-place:city,14727
R421222-boundary:administrative,12796
W190164883-landuse:recreation_ground,14297
R2888417-boundary:administrative,13583
R3739699-boundary:administrative,13720
R188553-boundary:administrative,12299
R43483-boundary:administrative,11311
N4353382085-place:state,"14845,14846"
N2276754230-place:town,14775
R17585-boundary:administrative,11261
W34503520-highway:residential,"14969,14967"
R3498111-boundary:administrative,13661
N315137869-place:town,14504
R69144-boundary:administrative,11889
R2316595-boundary:administrative,"13451,13452,13453"
R180348-boundary:administrative,12242
W989352080-building:office,14667
N544060405-place:city,14603
R2383224-boundary:administrative,13463
N1738808199-place:city,14744
R7444-boundary:administrative,"11242,11243,11244,11245,11246,11239,11240,11241"
R225481-boundary:administrative,12471
R47504-boundary:administrative,11316
N240063145-place:city,14341
N245581432-place:city,14373
N268396336-place:city,14447
R192790-boundary:administrative,12369
R1382494-boundary:administrative,13171
R396466-boundary:administrative,"12736,12735"
R1050510-boundary:administrative,12993
R3390051-boundary:postal_code,13652
R1136068-boundary:postal_code,"13070,13071"
R75628-boundary:administrative,11906
R2025886-boundary:administrative,13386
R1404604-boundary:postal_code,13182
R161644-boundary:administrative,12121
R3582694-boundary:region,13663
R67213-boundary:administrative,11883
R941757-boundary:administrative,12940
R396479-boundary:administrative,"12737,12738"
R164609-boundary:administrative,12161
W37831181-building:yes,14163
R192787-boundary:administrative,"12352,12353,12354,12355,12356,12357,12358,12359,12360,12361,12362,12363,12364,12365"
R295480-boundary:administrative,"12557,12558,12559,12560,12561,12562"
N151534347-place:village,14272
R1920901-boundary:administrative,"13331,13332,13333,13334,13335,13336,13337"
R56679-boundary:administrative,"11390,11391,11392,11393,11394,11395"
R165471-boundary:administrative,"12163,12164"
R172185-boundary:administrative,12201
R2833530-boundary:administrative,"13578,13579,13580"
R1615621-boundary:administrative,13248
R171264-boundary:administrative,12194
R959902-boundary:administrative,12949
R62687-boundary:administrative,"11766,11767,11768,11769"
R62782-boundary:administrative,"11838,11839,11840,11841,11842,11843,11845,11846,11847,11848,11844,14608,14609,11836,11837"
N8808263154-place:locality,14894
R943561-boundary:administrative,12943
R11677792-boundary:administrative,"13942,13943,13944"
R62495-boundary:administrative,"11613,11614,11615"
R195267-boundary:administrative,12408
W241361742-building:yes,14367
R172679-boundary:administrative,"12203,12204,12205"
R2022095-boundary:administrative,13384
R3146709-boundary:political,"13599,13600"
R3837923-boundary:administrative,13727
R422917-boundary:administrative,12799
N3181550515-place:city,14810
R6362934-boundary:administrative,13821
N1687216929-place:city,14736
R62633-boundary:administrative,11729
N687511075-amenity:theatre,14632
N5486035529-place:town,14861
R2793212-boundary:administrative,13568
R16343-boundary:administrative,"11258,11259"
R1021685-boundary:administrative,12986
R1188819-boundary:postal_code,13099
R1016505-boundary:administrative,"12954,12955"
R148838-boundary:administrative,"12092,12089,12090,12091,12093,12094,12095,12096,12098,12097,12099,12100"
R163052-boundary:administrative,"12150,12151"
R62478-boundary:administrative,"11601,11602"
R103716-boundary:administrative,11967
R10180981-boundary:administrative,13907
N21674637-place:city,14020
R127716-boundary:administrative,12049
R345740-boundary:administrative,12664
R405309-boundary:administrative,12770
R62780-boundary:administrative,"11823,11824,11825,11826,11827,11828,11829,11830,11831,11832,11833,11834,11835"
N315358390-place:city,14505
R14289499-boundary:administrative,13972
R170117-boundary:administrative,12187
N6658113961-office:association,14876
N245628312-place:town,14378
N24487450-place:city,"14029,14030"
R959645-boundary:administrative,12947
N300016201-place:town,14488
R62481-boundary:administrative,"11603,11604,11605,11606,11607"
R62149-boundary:administrative,"11458,11459,11460,11461,11462,11463,11464,11465,11466,11467,11468,11469,11470,11471,11472"
R299133-boundary:administrative,12565
N2394409479-place:village,14786
R4001207-boundary:police,13732
R1952514-boundary:administrative,13360
R16193530-place:city,"14597,14596"
R52747-boundary:administrative,"11364,11365"
R6232940-boundary:administrative,13819
R88071-boundary:ceremonial,"11948,11949,11950"
R2019939-boundary:administrative,"13382,13383"
R7870163-boundary:administrative,13849
N1037917163-place:city,"14673,14674"
R112533-boundary:administrative,12009
R1411339-boundary:administrative,"12506,13185,13186"
R450085-boundary:historic,12825
R62659-boundary:administrative,11762
N2518173352-place:city,14791
N26938845-place:city,14063
N1585272345-place:suburb,"14712,14713"
R1016513-boundary:administrative,"12961,12962,12963,12964"
R349547-boundary:administrative,"12672,12673"
W313299352-amenity:social_facility,14503
R1244015-boundary:administrative,13126
W220068919-highway:pedestrian,14319
N262031206-place:city,"14430,14431"
N1667005776-place:city,14728
R117925-boundary:administrative,12023
N253858753-place:village,14412
R8010070-boundary:administrative,13864
R1390623-boundary:administrative,13172
R62496-boundary:administrative,"11616,11617,11618"
R170169-boundary:administrative,12188
R2793189-boundary:administrative,"13561,13562,13563,13564,13565,13566"
N243382973-place:town,14371
R2799215-boundary:administrative,13572
N473374990-place:hamlet,14566
N158817652-place:town,14284
R17614-boundary:administrative,"11262,11263,11264"
N212677583-place:city,14292
R69348-boundary:administrative,11890
N21068295-place:city,"14010,14011"
W160147821-landuse:garages,14286
W27491065-building:commercial,14069
R43992-boundary:administrative,"11313,11314"
R96388-boundary:administrative,"11960,11961"
R11678062-boundary:administrative,13945
R170586-boundary:administrative,12189
R155713-boundary:administrative,12110
N1342435697-place:town,14697
R184640-boundary:administrative,"12268,12269,12270,12271,12272,12273,12274"
R62423-boundary:administrative,11569
R62745-boundary:administrative,"11800,11801,11802,11803,11804,11805"
R10663667-boundary:administrative,13927
R1411101-boundary:administrative,"13183,13184"
N30670040-place:city,14128
R42602-boundary:administrative,11308
N197603354-place:village,14305
W34512672-building:apartments,14155
R122604-boundary:administrative,"12039,12040,12041,12042,12043,12044,12045,12046"
R3711508-boundary:administrative,13691
R1369582-boundary:administrative,13166
N29747501-place:village,"14119,14120,14121"
R1241644-boundary:administrative,13119
W374817372-highway:residential,14976
R1016527-boundary:administrative,"12975,12976,12977,12978"
R356749-boundary:administrative,12676
R1950071-boundary:administrative,13357
R537701-boundary:administrative,12878
R62518-boundary:administrative,"11635,11636,11637,11638,11639,11640,11641,11642"
R548046-boundary:administrative,12883
R2778914-boundary:administrative,"13520,13521,13522"
R1370336-boundary:postal_code,13167
R3710532-boundary:administrative,13687
R10330977-boundary:administrative,13909
R3486020-boundary:administrative,13654
R358002-boundary:administrative,"12681,12682"
R5571617-boundary:administrative,13793
R16871035-boundary:administrative,13982
R1950090-boundary:administrative,13358
W130407751-amenity:townhall,14248
R181150-boundary:administrative,12248
N258495275-tourism:hotel,"14416,14417"
R454165-boundary:administrative,12849
R119515-boundary:administrative,12031
N10722994455-tourism:information,14913
R2168233-boundary:administrative,13412
R3337019-boundary:administrative,"13620,13621"
R390867-boundary:administrative,"12722,12723"
R435514-boundary:administrative,12801
R76155-boundary:administrative,11907
W53050495-place:house,14186
R349344-boundary:administrative,12669
N263734904-place:city,14440
N2606454014-shop:interior_decoration,14793
N1024114767-amenity:cinema,14672
R1634158-boundary:administrative,"13249,13250,13251,13252"
R3389340-boundary:postal_code,"13650,13651"
N501520125-place:town,"14584,14585"
W225735456-highway:pedestrian,"14984,14957,14982"
N990078879-amenity:library,14668
W15259205-highway:pedestrian,13979
R907192-boundary:postal_code,12913
N7514139011-office:yes,14882
R396710-boundary:administrative,"12744,12743,14949"
W1076229972-highway:tertiary,14939
N1594844142-place:town,14715
N3315149617-place:village,14818
R184629-boundary:administrative,12260
R225493-boundary:administrative,"12480,12481,12482"
R238084-boundary:administrative,12503
R5744413-boundary:administrative,13800
R1790696-boundary:administrative,13289
R659838-boundary:administrative,12900
W240181650-building:apartments,14365
R180684-boundary:administrative,12245
R1124267-boundary:administrative,13041
N3231429786-tourism:museum,"14814,14815,14816"
R2221119-boundary:administrative,"13436,13437"
R112467-boundary:administrative,12008
N4539661238-place:town,14855
R78752-boundary:administrative,11913
R4751452-highway:pedestrian,14929
W165900411-building:yes,14288
N154340776-place:town,14280
R1016516-boundary:administrative,"12969,12970"
R49715-boundary:administrative,"11325,11326,11327"
R58619-boundary:administrative,11430
N256555232-place:city,14414
N27565113-place:city,14093
R119557-boundary:administrative,12032
R1314218-boundary:administrative,13157
R6308866-natural:mountain_range,13820
R307829-boundary:administrative,"12639,12640"
W135631133-highway:secondary,14927
R51684-boundary:administrative,11351
R3720422-boundary:administrative,13710
N10584825802-amenity:community_centre,14912
R282347-boundary:administrative,12524
R1857436-boundary:administrative,13321
N60907763-place:city,14197
W141862937-building:yes,14253
R173124-boundary:administrative,12208
R897671-boundary:administrative,12907
R1302386-boundary:administrative,13146
W227580668-amenity:community_centre,"14324,14325"
R295355-boundary:administrative,"12553,12554,12555,12556"
W256016971-building:school,14413
R108089-boundary:administrative,11976
R2778322-boundary:administrative,13516
R341906-boundary:administrative,12662
N25293125-place:city,14032
R4576938-boundary:administrative,13757
R169759-boundary:administrative,"12185,12186"
N864212820-place:village,"14656,14657"
R1244160-boundary:administrative,13127
R534381-boundary:administrative,12862
N245702560-place:city,14386
N259587417-place:town,"14418,14419,14420"
R170708-boundary:administrative,12191
N1824135555-place:city,14752
R223167-boundary:administrative,12459
W222278733-boundary:protected_area,"14320,14321"
R453002-boundary:administrative,12833
N27565089-place:city,"14089,14090"
R1250226-boundary:administrative,13129
R2783888-boundary:administrative,"13528,13529"
R83319-boundary:administrative,11925
N3708908904-place:town,14831
R333748-boundary:administrative,12649
N1372477580-place:city,14699
W98946105-building:university,14223
N489372693-highway:bus_stop,"14572,14573"
R7903245-boundary:administrative,13863
R7888990-boundary:administrative,"13850,13851,13852,13853,13854,13855"
R192800-boundary:administrative,"12392,12393,12394,12395,12396"
W29261270-highway:unclassified,14985
N26153385-place:village,14049
R1332933-boundary:administrative,13160
R2793104-boundary:administrative,"13551,13552,13553,13554,13555,13556,13557,13558,13559,13560"
R139087-boundary:administrative,"12069,12070,12071"
R1418612-boundary:administrative,13188
R144696-boundary:administrative,12075
N284271111-place:village,14460
R422505-boundary:administrative,12797
R105270-boundary:administrative,11969
N3739658975-amenity:restaurant,"14833,14834,14835,14693"
W212706507-building:apartments,14314
N6683944704-place:town,14877
R6037643-boundary:administrative,13816
R1309674-boundary:administrative,13148
R406035-boundary:administrative,12774
W84749701-boundary:administrative,14210
N261833893-place:city,"14426,14427,14428,14429"
N150959789-place:city,14264
R1959008-boundary:administrative,13365
R1682248-boundary:administrative,"13262,13263,13264,13265,13266,13267"
W31549788-highway:service,14945
R405812-boundary:administrative,12772
N5022667001-place:village,14859
N4009196574-place:village,14840
R443911-boundary:administrative,"14994,12819"
N151493378-place:city,14271
R1473946-boundary:administrative,"13215,13216,13214"
N10244451674-amenity:cafe,14910
N2014216500-amenity:cafe,14763
R58253-boundary:administrative,11401
R184843-boundary:administrative,"12282,12283,12284,12285,12286"
N245717374-place:city,14394
R40217-boundary:administrative,11301
R13507428-boundary:administrative,13960
R62418-boundary:administrative,11551
N26502249-place:town,14055
R412166-boundary:administrative,12783
R172095-boundary:administrative,12200
W818766945-office:educational_institution,"14652,14653,14654"
N27565080-place:city,14088
R2420744-boundary:administrative,"13476,13477,13478,13479,13480"
N282335934-place:city,"14456,14457,14458"
R382313-boundary:administrative,"12702,12703,12704,12705,12706,12707,12708"
R3720358-boundary:administrative,13709
R401778-boundary:administrative,12759
R5135904-place:islet,13768
R1970198-boundary:administrative,"13371,13372"
R163736-boundary:administrative,12156
N27090054-place:city,14064
R175905-boundary:administrative,"12220,12221,12222,12223,12224,12225,12226,12227,12228,12229,12230,12231"
N300464483-amenity:cafe,14490
R1709854-boundary:administrative,"13283,13284"
N959618169-place:city,14666
N4824736425-place:town,"14856,14857"
N9655019076-amenity:community_centre,14906
W194547346-building:yes,14303
N316417066-place:county,14506
R4208689-amenity:hospital,13742
R3703394-boundary:administrative,13680
R2110264-boundary:administrative,13403
W226672615-amenity:place_of_worship,14323
W98181717-building:train_station,"14221,14222"
R8649-boundary:administrative,11248
R1254494-boundary:administrative,13136
W107451315-highway:residential,14923
R62396-boundary:administrative,11509
R2406260-boundary:administrative,13469
R116883-landuse:forest,12021
W133578644-place:city,14251
R1658515-boundary:administrative,13257
N1686293227-place:city,14735
R2698314-boundary:ceremonial,13499
R62512-boundary:administrative,"11631,11632,11633"
R62650-boundary:administrative,"11755,11756,11757"
R10106202-boundary:administrative,13904
R10718400-boundary:administrative,13928
N435662822-place:town,14558
R2249770-place:island,"13440,13441"
W32523967-highway:tertiary,14963
N260624619-place:town,"14422,14423"
R1022764-boundary:administrative,"12987,12988"
R393689-boundary:administrative,"12727,12728"
R181163-boundary:administrative,12253
R1188830-boundary:postal_code,13100
R30971-boundary:administrative,11289
R396496-boundary:administrative,12740
R60199-boundary:administrative,"11448,11447"
R2772661-boundary:administrative,13514
R170938-boundary:administrative,12192
R334372-boundary:administrative,12650
R1096833-boundary:postal_code,13010
R9660059-place:region,13890
R453391-boundary:administrative,12840
W87303726-amenity:school,14211
R283562-boundary:administrative,12526
R1441529-boundary:postal_code,13210
N3861010220-amenity:library,14838
N1635617294-place:hamlet,14722
R5983303-boundary:administrative,13815
N599928329-place:hamlet,14620
R364110-boundary:administrative,"12683,12684"
R405817-boundary:administrative,12773
R10351626-boundary:administrative,"13910,13911,13912,13913,13914"
R1413934-place:city,13187
R1942586-boundary:administrative,"14798,14799,14801,13340,13341,13342,14800"
R1985899-boundary:administrative,13375
R3955288-place:city,13731
R186479-boundary:administrative,"12289,12290"
N2824454497-place:town,14804
R112145-boundary:administrative,12003
N335885603-place:town,14525
N67157058-place:city,"14200,14201,14202"
W331961428-building:apartments,"14519,14520"
R10108023-boundary:administrative,13905
R1392804-boundary:administrative,13173
W898525616-building:yes,14659
R9381363-boundary:administrative,13886
R80501-boundary:administrative,11924
R2785095-boundary:administrative,13539
N240093385-place:village,14352
R959818-boundary:administrative,12948
R71033-boundary:administrative,11897
R11676682-boundary:administrative,13939
R53801-boundary:administrative,11375
N21063119-place:city,14009
R3376965-boundary:postal_code,13647
R237440-boundary:administrative,12499
R1600782-boundary:administrative,13241
N240098523-place:county,14354
R133736-boundary:administrative,12059
R4451926-boundary:political,13752
R9960657-boundary:administrative,13896
R6522363-boundary:administrative,13823
W794531687-highway:tertiary,14948
R10371838-boundary:administrative,"13915,13916,13917"
R3276843-boundary:administrative,14888
N902983025-place:village,14660
R183778-boundary:administrative,"12257,12258,12259"
R3720743-boundary:administrative,13715
R3766483-boundary:administrative,13722
W199214029-building:yes,"14310,14311"
N29622162-place:village,"14116,14117"
R2396450-boundary:administrative,13466
R1188954-boundary:postal_code,13102
W372675059-landuse:residential,14544
R1151349-boundary:postal_code,13077
R1708283-boundary:administrative,"13281,13282"
R286393-boundary:administrative,"12539,12540"
R8018979-boundary:administrative,13865
R18154806-boundary:administrative,14150
N1002261921-place:town,14671
R54413-boundary:administrative,11382
N571773704-place:city,14615
R1839161-boundary:administrative,13310
N463256119-place:village,14565
N26880091-place:village,"14061,14062"
R1504656-boundary:administrative,13229
W147273692-leisure:hackerspace,14261
R62430-boundary:administrative,"11582,11583"
R51477-boundary:administrative,"11348,11349,11340,11341,11342,11343,11344,11345,11346,11347,11336,11337,11338,11339"
R62422-boundary:administrative,"11560,11557,11558,11559,11552,11553,11554,11555,11556,11561,11562,11563,11564,11565,11566,11567,11568"
N7649814849-place:hamlet,"14885,14886"
R347950-boundary:administrative,"12665,12666,12667"
R1273359-boundary:administrative,"13139,13140"
R5558012-highway:pedestrian,"13791,13792"
R2084746-boundary:administrative,13391
R399906-boundary:administrative,12756
R1600813-boundary:administrative,13244
R3328013-boundary:administrative,13610
R3718720-boundary:administrative,13708
N279645187-place:city,14452
R913110-boundary:administrative,"12914,12915,12916"
R70124-boundary:administrative,"11891,11892"
R2377876-boundary:administrative,13462
R454178-boundary:administrative,12853
R1703814-boundary:disputed,"13279,13280"
R304716-boundary:administrative,"12580,12569,12570,12571,12572,12573,12574,12575,12576,12577,12578,12579,12582,12583,12584,12585,12586,12587,12581"
R324269-boundary:administrative,12646
R416357-boundary:administrative,12786
W238965460-building:yes,14333
R37244-boundary:administrative,"11299,11300"
W225855828-building:yes,14322
N4430328343-place:city,14854
N44927060-place:city,14175
R14186936-place:city,13969
N1635651356-place:city,14723
R5460399-place:suburb,13786
N11068300282-tourism:attraction,14916
N27565124-place:city,"14094,14095,14096,14097"
N267762522-place:city,14446
N240504014-place:city,14366
R62456-boundary:administrative,"11585,11586"
R2316598-boundary:administrative,13455
R405304-boundary:administrative,12769
R62701-boundary:administrative,11782
N17858426-place:town,"13990,13991"
R318864-boundary:administrative,12643
R62587-boundary:administrative,"11705,11706"
N248783208-place:town,14399
R62405-boundary:administrative,"11533,11534,11535"
N9583206205-place:village,14902
R171260-boundary:administrative,12193
R62491-boundary:administrative,11610
R3490438-boundary:administrative,13656
N1449509957-tourism:museum,14708
N2638593202-place:house,14794
N31440660-place:town,14141
R224045-boundary:administrative,"12464,12465,12466"
R1334123-boundary:administrative,13161
R2978650-boundary:administrative,"13590,13591,13592,13593,13594,13595,13589"
R1473947-boundary:administrative,"13221,13217,13218,13219,13220,13222,13223,13224,13225"
W116954106-building:apartments,14235
R1797918-boundary:administrative,13291
R1809013-boundary:administrative,"13299,13300"
N71364807-place:town,14205
R2088990-boundary:administrative,13392
N198492691-place:town,14307
N3227589041-place:city,14813
N299617915-place:city,"14485,14486,14487"
R13015689-boundary:administrative,13954
W98455854-highway:platform,14991
R167454-boundary:administrative,"12183,12184"
R9686827-boundary:administrative,13893
W260858785-place:neighbourhood,14424
R3716950-boundary:administrative,"13696,13697"
R3344550-boundary:postal_code,13623
R2808301-boundary:administrative,13575
N240101756-place:town,14355
R453363-boundary:administrative,12834
R14480894-place:city,13976
N1695218178-place:city,"14740,14741,14742"
R1600824-boundary:administrative,13245
R3353554-boundary:postal_code,13633
R4450996-boundary:administrative,13751
R3716076-boundary:administrative,13694
N3737840739-place:hamlet,14832
W42271091-highway:footway,14946
R3766486-boundary:administrative,13723
R1546085-boundary:census,13238
R13218356-building:retail,13956
N12337432759-amenity:car_sharing,14921
W12654644-highway:residential,14931
R40527-boundary:administrative,11303
N2290378830-place:village,"14779,14780"
R186363-boundary:administrative,12288
R2882613-boundary:administrative,13581
R1394773-boundary:postal_code,13176
N17328659-place:city,13986
R349451-boundary:administrative,12671
N956179375-place:village,14665
N17193023-place:city,"13983,13984,13985"
R58974-boundary:administrative,"11431,11432"
N361424182-place:city,14540
R225492-boundary:administrative,12479
N19075410-place:village,14001
R3329798-boundary:postal_code,13616
R1944659-boundary:administrative,13345
R14101768-boundary:disputed,"13968,13967"
R1071015-boundary:administrative,12997
R16789368-boundary:census,12500
N52240662-place:village,14184
R2218275-boundary:geomorphological-unit,13433
R3720554-boundary:administrative,13712
W1142174691-amenity:school,14687
N26880090-place:town,"14059,14060"
W122748967-building:yes,"14240,14241"
R6867788-boundary:administrative,13829
N5537570373-amenity:cafe,14866
N2149000430-place:city,14771
R58446-boundary:administrative,"11411,11412,11413,11414,11415"
W161466789-landuse:farmland,14287
R16132-boundary:administrative,"11251,11249,11250"
R942047-boundary:administrative,12941
N3755946675-place:house,14836
N27565027-place:city,14081
N16173235-place:city,13980
R1683941-boundary:administrative,13274
R2168248-boundary:administrative,13415
R2405268-boundary:administrative,13467
N1602111978-place:city,"14718,14719"
W424475117-building:yes,"14556,14557"
N9928246412-office:ngo,14908
R1903516-boundary:administrative,"13326,13327"
W355113480-building:yes,14535
R4430941-boundary:administrative,13750
R12394677-boundary:administrative,"13759,13949,13760"
R1016504-boundary:administrative,"12950,12951,12952,12953"
R163746-boundary:administrative,12160
R1946117-boundary:administrative,"13348,13349,13350,13351,13352"
R3315051-boundary:administrative,13608
N262704688-place:suburb,14432
R12982139-boundary:administrative,"13952,13953"
R114690-boundary:administrative,"12016,12017,12018,12019"
R14289632-boundary:administrative,13974
N10280099071-amenity:theatre,14911
N659535045-highway:bus_stop,14625
R3711481-boundary:administrative,"13688,13689,13690"
R5746665-place:city,"13801,13802,13803,13804"
R162050-boundary:administrative,"12134,12135,12136,12137"
R7202037-boundary:administrative,"13834,13835"
R286675-boundary:administrative,12542
N21579127-place:city,14017
W9064868-highway:residential,14930
N150981381-place:city,14268
R391186-boundary:administrative,"12724,12725"
R55776-boundary:administrative,11389
R83913-boundary:administrative,11926
R1251557-boundary:administrative,13133
R3409918-boundary:administrative,13653
N445073305-place:village,"14561,14562"
R11677685-boundary:administrative,13940
R54224-boundary:administrative,"11376,11377,11378,11379,11380,11381"
N287534172-place:city,14461
R90689-boundary:administrative,"11955,11956,11957,11958,11959"
R61320-boundary:administrative,"11455,11456"
N1209752072-place:town,14692
R1124273-boundary:administrative,"13052,13053,13054,13055"
R6577668-boundary:administrative,13825
R2456294-boundary:administrative,13483
W128547494-building:yes,14245
W372675590-landuse:farmyard,14545
N25738881-place:city,14042
R4140383-boundary:administrative,13739
R6571629-boundary:administrative,13824
R438171-boundary:administrative,12802
R365307-boundary:administrative,12685
R86708-boundary:administrative,"11933,11935,11936,11934"
R659747-boundary:administrative,12899
R1252923-boundary:administrative,13134
N11127374-place:city,"13934,13935,13936,13937"
W65714214-highway:residential,"14973,14983,14974"
R162378-boundary:administrative,"12146,12147"
R2793599-boundary:postal_code,13569
N29732078-place:town,14118
R162116-boundary:administrative,12144
R443593-boundary:administrative,12818
R14286529-boundary:administrative,13970
N3494100585-place:quarter,14827
R42619-boundary:administrative,11309
R301870-boundary:administrative,12566
W663481229-landuse:industrial,14627
N1129364490-place:city,14685
N1643504896-place:city,"14724,14725"
R173773-boundary:administrative,12209
R3716090-boundary:administrative,13695
R58590-boundary:administrative,"11425,11426,11427,11428"
N1764285233-amenity:college,14745
R62717-boundary:administrative,"11789,11790"
R939334-boundary:administrative,12935
R72596-boundary:administrative,11903
N29094633-place:town,"14105,14106"
R197273-boundary:administrative,12442
R2763541-boundary:administrative,"13506,13507,13508,13509,13510,13511,13512,13513"
W636066000-building:yes,14622
N2087401278-office:charity,14769
R253832-boundary:administrative,"12508,12509,12510"
N8541366252-place:city,14890
R1991609-boundary:administrative,13377
R1216849-boundary:administrative,"13109,13106,13107,13108"
N2028126814-place:hamlet,14768
R1675898-boundary:administrative,13259
R1143757-boundary:postal_code,13074
R170613-boundary:administrative,12190
R2792882-boundary:administrative,"13546,13547,13548,13549,13550"
N150960561-place:city,"14265,14266"
W128547490-building:yes,14244
W28490647-building:office,14104
R180683-boundary:administrative,12244
R50371-boundary:administrative,"11334,11335"
W491638345-amenity:fountain,14574
N1668655163-place:city,14730
N17916174-place:city,13993
R147447-boundary:administrative,12083
R932423-boundary:administrative,12923
N571469929-place:city,14613
R58591-boundary:administrative,11429
R53650-boundary:administrative,11374
R3353288-boundary:administrative,13632
R8186236-boundary:administrative,13866
R62508-boundary:administrative,"11622,11623,11624,11625,11626,11627,11628,11629,11630"
R195271-boundary:administrative,"12422,12423,12424,12425,12426,12427"
N473673874-place:village,14567
R531654-boundary:administrative,"12856,12857,12858,12859"
R1240588-boundary:administrative,13118
W68256432-highway:residential,14951
W334411317-building:yes,"14521,14522,14523"
N62792826-place:hamlet,14198
R1683709-boundary:administrative,13273
R62453-boundary:administrative,11584
R1080467-boundary:administrative,"13003,13004,13005,13006"
R2932285-boundary:administrative,13587
R2908186-boundary:administrative,13584
N2314213771-tourism:gallery,"14782,14783"
N251608378-place:city,14405
R418620-boundary:administrative,12794
R62470-boundary:administrative,11600
N292806332-place:city,"14471,14472,14473"
N438960507-place:town,14559
R85242-boundary:administrative,11927
W373173400-landuse:residential,14546
R391196-boundary:administrative,12726
N2290247316-place:hamlet,14778
N51969555-place:city,14183
R192757-boundary:administrative,"12322,12323,12324,12325"
R660349-boundary:administrative,12901
W235012388-building:apartments,14329
W93262984-shop:supermarket,14215
N158842914-place:quarter,14285
N245691673-place:city,14384
R3495553-boundary:administrative,13660
R53296-boundary:administrative,11373
N31417053-place:village,"14139,14140"
R3227127-boundary:administrative,"13602,13603,13604"
N25735371-place:city,14041
W131506189-amenity:place_of_worship,14250
R3272309-boundary:postal_code,13606
W194100314-amenity:community_centre,14301
R165794-boundary:administrative,12180
R365331-boundary:administrative,"12686,12687,12688,12689,12690,12691,12692,12693,12694,12695"
R161950-boundary:administrative,"12125,12126"
R10019384-boundary:administrative,13898
R136712-boundary:administrative,12068
N150963377-place:city,14267
R9092218-boundary:administrative,"13875,13876"
R14723588-boundary:administrative,"13977,13978"
R382418-boundary:administrative,12709
W26336913-highway:primary,14936
N10973286195-place:house,14914
W13540659-highway:residential,14962
R3696971-boundary:administrative,13677
R76469-boundary:administrative,"11909,11910"
R110833-boundary:administrative,11985
R423062-boundary:administrative,12800
R2407358-boundary:administrative,13470
R54462-boundary:administrative,11384
R1145583-boundary:postal_code,13075
R13645698-leisure:park,13962
R452988-boundary:administrative,"12829,12830,12831,12832"
N817806338-amenity:taxi,14651
R2722678-boundary:administrative,13501
R7462-boundary:administrative,11247
R11689681-boundary:administrative,13946
R3718182-boundary:administrative,"13702,13703,13704,13705"
N288420150-place:town,14464
R2171347-boundary:administrative,"13417,13418,13419,13420"
R1103635-boundary:postal_code,13014
R1184825-boundary:administrative,13092
R161961-boundary:administrative,"12129,12130,12131,12132"
N348096869-amenity:pub,14533
R7225990-boundary:administrative,13889
R295092-boundary:administrative,12552
R27027-boundary:administrative,"11274,11275,11276"
N502950676-place:village,14590
R1187159-boundary:administrative,"13093,13094,13095,13096,13097"
R7081677-place:region,13831
N3318555982-tourism:museum,14819
R80500-boundary:administrative,"11917,11915,11916,11918,11919,11920,11921,11922,11923"
R41485-boundary:administrative,"11306,11305,11307"
R541672-boundary:historic:administrative,12880
W1158269742-building:school,"14688,14689"
N262706785-place:town,14433
R1565793-boundary:administrative,13239
N8923659604-place:village,14897
W948728425-landuse:farmland,14664
W129537213-amenity:school,"14246,14247"
R1028816-boundary:administrative,12992
W45591848-highway:tertiary,14952
W22826546-place:city,14025
N26490651-place:town,14054
N243060007-place:suburb,14370
N265958490-place:city,"14442,14443"
R28699-boundary:administrative,"11277,11278"
R14289808-boundary:administrative,13975
W1000858041-landuse:residential,14670
R1116270-boundary:administrative,13030
N240073484-place:county,"14343,14344,14345"
R43756-boundary:administrative,11312
R2784807-boundary:administrative,"13530,13531"
N30857325-place:village,14129
R418872-boundary:administrative,12795
R4120759-boundary:administrative,13736
N247717281-place:city,"14396,14397"
R387772-boundary:administrative,"12718,12719"
R387469-boundary:administrative,12716
N33100807-place:town,14151
