osm_combination,location_ids
R148789-boundary:administrative,12088
R21335-boundary:administrative,11266
W589706033-amenity:townhall,14617
R1016515-boundary:administrative,12968
R1101466-boundary:postal_code,13013
R722150-boundary:administrative,12906
W39987593-building:train_station,"14166,14167,14168,14169"
R175707-boundary:census,12218
R129590-boundary:administrative,12052
N17858754-place:town,13992
R62578-boundary:administrative,"11692,11693,11694,11695,11696,11697,11698,11699"
R62640-boundary:administrative,"11738,11736,11737"
N273817074-place:village,14451
R9686822-boundary:administrative,13892
R2145268-boundary:administrative,"13407,13408"
W333209786-highway:pedestrian,"14980,14989,14956"
N289346590-place:city,"14465,14466,14467"
R1504427-boundary:administrative,13228
R11797890-boundary:administrative,13947
N703497634-place:hamlet,14636
R305138-boundary:administrative,"12612,12613"
N2702635872-building:residential,14802
R1435835-boundary:administrative,13209
R242585-boundary:administrative,12504
R178021-boundary:administrative,"12235,12236,12237"
R1944756-boundary:administrative,"13346,13347"
R449220-boundary:administrative,"12822,12823,12824"
N8757639768-amenity:community_centre,"14892,14893"
R270056-boundary:administrative,"12511,12512,12513,12514,12515,12516,12518,12517"
N780536498-place:city,14644
R214665-boundary:administrative,"12456,12457"
N1326762432-place:city,"14527,14529,14528"
N13355228-place:town,13958
W32621100-building:industrial,14144
R62411-boundary:administrative,"11547,11548,11549,11550"
R1278736-boundary:administrative,13142
N3488243604-place:suburb,14826
R1477084-boundary:administrative,13226
R112304-boundary:administrative,12007
R324211-boundary:administrative,"12644,12645"
R109166-boundary:administrative,"11978,11979,11980,11981,11982,11983"
R2440448-boundary:administrative,13482
R2730349-place:city,"13503,13504,13505"
R62400-boundary:administrative,"11510,11511,11512,11513,11514,11515,11516,11517,11518,11519,11520"
R1394770-boundary:postal_code,13175
W27883773-building:university,14100
N89313928-place:city,14213
N29780369-place:village,14122
N21262494-place:city,"14012,14013,14014"
N27565105-place:city,"14091,14092"
N151422010-place:city,14270
R1432365-boundary:administrative,13204
N55136928-place:town,14188
R76516-boundary:administrative,11911
R9071318-boundary:administrative,13874
R357995-boundary:administrative,12680
R66750-boundary:administrative,11882
N240102654-place:city,"14356,14357"
R941087-boundary:administrative,12939
W4481969-amenity:university,13756
R223474-boundary:administrative,"12460,12461"
R182706-boundary:administrative,12256
N244082238-place:city,14372
N10021976-place:city,13900
R4140554-boundary:administrative,13740
R271110-boundary:administrative,"12519,12520,12521,12522,12523"
R3343625-boundary:postal_code,13622
R1177823-boundary:administrative,13085
R9274280-place:town,13884
R1184562-boundary:administrative,13091
R418434-boundary:administrative,12793
R62356-boundary:administrative,11480
R377452-boundary:administrative,12699
N9784135870-place:village,14907
N3500961528-place:city,"14829,14828"
R1527084-boundary:administrative,13233
N27565002-place:city,14080
R10489605-boundary:administrative,13761
R152281-boundary:administrative,12103
R87775-boundary:administrative,11946
W290595605-building:yes,14469
R192830-boundary:administrative,"12397,12398,12399,12400,12401,12402,12403"
R62664-boundary:administrative,11763
R2407500-boundary:administrative,13471
N1448497912-place:city,14707
R3372369-boundary:postal_code,13640
N150946345-place:city,14263
R2093234-boundary:administrative,"13393,13394"
R132799-boundary:administrative,12056
R2884808-boundary:administrative,13582
N52241765-place:village,14185
R2315704-boundary:administrative,"13444,13445,13446,13447,13448"
R4611087-boundary:political,13763
R1318338-boundary:administrative,"13158,13159"
R28722-boundary:administrative,"11279,11280"
N261650920-place:village,14425
W48488857-amenity:townhall,"14177,14178,14179"
N663428001-place:city,13764
N1600652612-amenity:cafe,14717
N2316854119-shop:convenience,"14784,14785"
R174737-boundary:administrative,"12213,12210,12211,12212,12214,12215,12216"
R33201-building:office,"11290,11291"
R4140368-boundary:administrative,13738
R447979-boundary:administrative,12821
R161957-boundary:administrative,"12128,12127"
W196319740-place:village,14304
N297957507-place:village,14482
R16239-boundary:administrative,"11252,11253,11254,11255,11256,11257"
R2785957-boundary:administrative,13540
R238005-boundary:administrative,12501
R12770700-boundary:administrative,13950
R1970186-boundary:administrative,"13367,13368,13369,13370"
R3357660-boundary:postal_code,13634
R158556-boundary:administrative,12116
R943557-boundary:administrative,12942
N335868152-place:city,14524
R192736-boundary:administrative,"12316,12317"
R547469-boundary:administrative,"12881,12882"
R1080449-boundary:administrative,13001
N5522739877-place:village,14863
N29277817-place:city,"14108,14109,14110,14111"
R2436133-highway:pedestrian,14926
N262721892-place:town,14436
R1070411-boundary:administrative,12996
R192786-boundary:administrative,12351
R9134191-boundary:administrative,13877
R177415-boundary:administrative,"12233,12234"
R199071-boundary:administrative,12443
N2718555130-place:village,14803
R13290062-boundary:administrative,13957
R60687-boundary:administrative,11449
W109121382-building:office,14230
N33997995-place:city,14154
R374297-boundary:administrative,12698
W242633363-landuse:forest,14369
W166280787-amenity:community_centre,"14289,14290,14291"
R1207838-boundary:administrative,13103
R133765-boundary:statistical,12060
R286590-boundary:administrative,12541
N27564994-place:city,"14072,14073"
N2897566195-amenity:social_centre,14805
R1248406-boundary:administrative,13128
R1432629-boundary:administrative,13205
R387305-boundary:administrative,12713
N7020623886-place:city,14879
N2188540033-place:village,14772
R1428125-boundary:administrative,"13193,13194,13195,13196,13197,13198,13199,13200,13201,13202,13203"
R2221423-boundary:administrative,"13438,13439"
R62713-boundary:administrative,"11783,11784,11786,11787,11788,11785"
R1080460-boundary:administrative,13002
W69605526-amenity:townhall,14204
R387411-boundary:administrative,12714
N501517702-place:city,14583
R53292-boundary:administrative,11372
W329061153-landuse:industrial,14518
R184840-boundary:administrative,12281
N271315342-place:city,14448
N3831141182-amenity:clubhouse,14837
N158649053-place:hamlet,14282
R1829065-boundary:administrative,"13303,13304,13305,13306,13307,13308,13309"
N9637312475-amenity:events_venue,"14903,14904"
W704502493-landuse:construction,14637
N240074718-place:city,"14346,14347,14348,14349"
R157741-boundary:administrative,12113
R556710-boundary:administrative,12893
R173103-boundary:administrative,12207
R929730-boundary:administrative,12922
R62591-boundary:administrative,"11707,11708,11709,11710,11711,11712,11713"
N7646215719-place:quarter,14884
W1298098644-building:college,14696
N501540902-place:city,14588
W673292342-highway:pedestrian,14629
N27794797-place:town,14098
R62643-boundary:administrative,"11739,11740"
W794181493-highway:unclassified,14941
R1291695-boundary:postal_code,13144
R1282111-boundary:administrative,13143
