id,osm_type,osm_id,osm_class,osm_class_type,display_name
3782,W,56138113,highway,pedestrian,"Beşiktaş-Platz, Innenstadt, Erlangen, Bayern, 91052, Deutschland"
3833,W,707648733,amenity,townhall,"Rathaus, 2, Rückermainstraße, Innenstadt, Würzburg Altstadt, Würzburg, Bayern, 97070, Deutschland"
3811,W,785000062,place,village,"Killin, Stirling, Alba / Scotland, United Kingdom"
3863,W,87544856,amenity,courthouse,"Amts- und Landgericht Würzburg, 5, Ottostraße, Innenstadt, Würzburg Altstadt, Würzburg, Bayern, 97070, Deutschland"
3799,W,96239563,amenity,university,"Campus Fachhochschule Potsdam, 5, Kiepenheuerallee, Bornstedter Feld, Bornstedt, Potsdam, Brandenburg, 14469, Deutschland"
3864,W,970149183,landuse,residential,"Little Dunkeld, Dunkeld, Perth and Kinross, Alba / Scotland, United Kingdom"
3819,W,48605329,highway,platform,"Rathaus Babelsberg, Karl-Liebknecht-Straße, Babelsberg Nord, Potsdam, Brandenburg, 14482, Deutschland"
3875,R,3372441,boundary,postal_code,"79336, Bleichheim, Herbolzheim, Verwaltungsverband Kenzingen-Herbolzheim, Landkreis Emmendingen, Baden-Württemberg, Deutschland"
3876,R,3372441,boundary,postal_code,"79336, Bleichheim, Herbolzheim, Verwaltungsverband Kenzingen-Herbolzheim, Landkreis Emmendingen, Baden-Württemberg, Deutschland"
3788,N,9911240180,office,university,"Marsilius-Kolleg, 130.1, Im Neuenheimer Feld, Theoretikum, Neuenheimer Feld, Neuenheim, Heidelberg, Baden-Württemberg, 69120, Deutschland"
